Total Samples: 624
KNN Accuracy: 0.8830
Top-1 Accuracy: 0.8269
Mean Precision@5: 0.8609

Test-1: True=0, Top-1=0, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0001-0001.jpeg
Test-64: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0103-0001.jpeg
Test-65: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0105-0001.jpeg
Test-66: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\IM-0107-0001.jpeg
Test-67: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\IM-0109-0001.jpeg
Test-68: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0110-0001.jpeg
Test-69: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\IM-0111-0001.jpeg
Test-70: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0007-0001.jpeg
Test-71: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0012-0001.jpeg
Test-72: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0013-0001.jpeg
Test-73: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0019-0001.jpeg
Test-74: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0023-0001.jpeg
Test-75: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0027-0001.jpeg
Test-76: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0028-0001.jpeg
Test-77: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0029-0001.jpeg
Test-78: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0030-0001.jpeg
Test-79: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0033-0001.jpeg
Test-80: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0035-0001.jpeg
Test-81: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0041-0001.jpeg
Test-82: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0045-0001.jpeg
Test-83: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0051-0001.jpeg
Test-84: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0052-0001.jpeg
Test-85: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0058-0001.jpeg
Test-86: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0059-0001.jpeg
Test-87: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0060-0001.jpeg
Test-88: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0066-0001.jpeg
Test-89: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0072-0001.jpeg
Test-90: True=0, Top-1=0, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0073-0001.jpeg
Test-91: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0079-0001.jpeg
Test-92: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0081-0001.jpeg
Test-93: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0086-0001.jpeg
Test-94: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0092-0001.jpeg
Test-95: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0095-0001.jpeg
Test-96: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0096-0001.jpeg
Test-97: True=0, Top-1=1, P@5=0.20, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0098-0001.jpeg
Test-98: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0102-0001.jpeg
Test-99: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0105-0001.jpeg
Test-100: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0107-0001.jpeg
Test-101: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0110-0001.jpeg
Test-102: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0111-0001.jpeg
Test-103: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0112-0001.jpeg
Test-104: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0117-0001.jpeg
Test-105: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0120-0001.jpeg
Test-106: True=0, Top-1=0, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0123-0001.jpeg
Test-107: True=0, Top-1=0, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0129-0001.jpeg
Test-108: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0130-0001.jpeg
Test-109: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0131-0001.jpeg
Test-110: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0132-0001.jpeg
Test-111: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0135-0001.jpeg
Test-112: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0139-0001.jpeg
Test-113: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0141-0001.jpeg
Test-114: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0145-0001.jpeg
Test-115: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0146-0001.jpeg
Test-116: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0150-0001.jpeg
Test-117: True=0, Top-1=0, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0171-0001.jpeg
Test-118: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0173-0001-0001.jpeg
Test-119: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0173-0001-0002.jpeg
Test-120: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0195-0001.jpeg
Test-121: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0196-0001.jpeg
Test-122: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0198-0001.jpeg
Test-123: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0199-0001.jpeg
Test-124: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0201-0001.jpeg
Test-125: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0206-0001.jpeg
Test-126: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0207-0001.jpeg
Test-127: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0210-0001.jpeg
Test-128: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0213-0001.jpeg
Test-129: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0217-0001.jpeg
Test-130: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0219-0001.jpeg
Test-131: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0221-0001.jpeg
Test-132: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0222-0001.jpeg
Test-133: True=0, Top-1=1, P@5=0.20, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0229-0001.jpeg
Test-134: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0232-0001.jpeg
Test-135: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0233-0001.jpeg
Test-136: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0237-0001.jpeg
Test-137: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0238-0001.jpeg
Test-138: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0241-0001.jpeg
Test-139: True=0, Top-1=1, P@5=0.40, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0246-0001-0001.jpeg
Test-140: True=0, Top-1=1, P@5=0.40, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0246-0001-0002.jpeg
Test-141: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0246-0001.jpeg
Test-142: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0249-0001.jpeg
Test-143: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0251-0001.jpeg
Test-144: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0252-0001.jpeg
Test-145: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0256-0001.jpeg
Test-146: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0259-0001.jpeg
Test-147: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0267-0001.jpeg
Test-148: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0271-0001.jpeg
Test-149: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0272-0001.jpeg
Test-150: True=0, Top-1=1, P@5=0.20, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0273-0001.jpeg
Test-151: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0274-0001.jpeg
Test-152: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0275-0001.jpeg
Test-153: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0276-0001.jpeg
Test-154: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0277-0001.jpeg
Test-155: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0278-0001.jpeg
Test-156: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0279-0001.jpeg
Test-157: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0280-0001.jpeg
Test-158: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0281-0001.jpeg
Test-159: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0282-0001.jpeg
Test-160: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0283-0001.jpeg
Test-161: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0285-0001.jpeg
Test-162: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0286-0001.jpeg
Test-163: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0287-0001.jpeg
Test-164: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0288-0001.jpeg
Test-165: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0289-0001.jpeg
Test-166: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0290-0001.jpeg
Test-167: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0292-0001.jpeg
Test-168: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0294-0001.jpeg
Test-169: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0297-0001.jpeg
Test-170: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0300-0001.jpeg
Test-171: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0301-0001.jpeg
Test-172: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0302-0001.jpeg
Test-173: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0303-0001.jpeg
Test-174: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0304-0001.jpeg
Test-175: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0305-0001.jpeg
Test-176: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0307-0001.jpeg
Test-177: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0309-0001.jpeg
Test-178: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0310-0001.jpeg
Test-179: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0311-0001.jpeg
Test-180: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0312-0001.jpeg
Test-181: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0313-0001.jpeg
Test-182: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0315-0001.jpeg
Test-183: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0316-0001.jpeg
Test-184: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0317-0001.jpeg
Test-185: True=0, Top-1=0, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0319-0001.jpeg
Test-186: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0321-0001.jpeg
Test-187: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0322-0001.jpeg
Test-188: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0323-0001.jpeg
Test-189: True=0, Top-1=0, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0325-0001.jpeg
Test-190: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0326-0001.jpeg
Test-191: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0327-0001.jpeg
Test-192: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0328-0001.jpeg
Test-193: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0329-0001.jpeg
Test-194: True=0, Top-1=1, P@5=0.20, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0330-0001.jpeg
Test-195: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0331-0001.jpeg
Test-196: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0332-0001.jpeg
Test-197: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0333-0001.jpeg
Test-198: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0335-0001.jpeg
Test-199: True=0, Top-1=1, P@5=0.40, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0336-0001.jpeg
Test-200: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0337-0001.jpeg
Test-201: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0338-0001.jpeg
Test-202: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0339-0001.jpeg
Test-203: True=0, Top-1=1, P@5=0.40, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0340-0001.jpeg
Test-204: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0341-0001.jpeg
Test-205: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0343-0001.jpeg
Test-206: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0345-0001.jpeg
Test-207: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0346-0001.jpeg
Test-208: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0347-0001.jpeg
Test-209: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0348-0001.jpeg
Test-210: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0349-0001.jpeg
Test-211: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0350-0001.jpeg
Test-212: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0351-0001.jpeg
Test-213: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0352-0001.jpeg
